,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
9748,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-14,2019-01-16,3,≤ 10k,≤ 100
9749,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-07-11,54,≤ 10k,≤ 100
9751,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-11,26,≤ 10k,≤ 100
9752,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-06-18,29,≤ 10k,≤ 100
9754,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-29,2020-02-24,27,≤ 10k,100-1k
9755,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-05-10,65,≤ 10k,100-1k
9756,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2019-07-30,12,10k-100k,≤ 100
9757,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-15,2020-01-21,4,≤ 10k,≤ 100
9760,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-10,2019-07-11,2,10k-100k,100-1k
9761,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2019-07-30,12,100k-1M,100-1k
9762,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-11,2019-04-10,14,≤ 10k,≤ 100
9763,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-29,2020-01-29,1,≤ 10k,≤ 100
9764,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-13,2019-03-22,8,100k-1M,100-1k
9768,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-09,2019-04-12,4,≤ 10k,≤ 100
9769,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-21,204,≤ 10k,100-1k
9770,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-22,2019-05-06,100,≤ 10k,100-1k
9771,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-03,2019-06-11,8,≤ 10k,≤ 100
9772,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,174,10k-100k,1k-50k
9777,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-28,2020-02-03,7,10k-100k,100-1k
9779,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-25,2020-02-03,10,10k-100k,100-1k
9781,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-14,2020-01-26,7,≤ 10k,≤ 100
9783,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-03,2019-05-10,38,≤ 10k,100-1k
9785,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-15,2019-05-17,3,≤ 10k,≤ 100
9787,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-09,2020-01-09,1,≤ 10k,≤ 100
9789,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-14,2019-01-22,9,≤ 10k,100-1k
9795,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-22,2019-07-25,4,10k-100k,100-1k
9797,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-03,2019-06-05,58,≤ 10k,100-1k
9804,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-06,2019-06-08,32,≤ 10k,100-1k
9806,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-06,2019-07-03,22,≤ 10k,≤ 100
9807,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-11,25,≤ 10k,≤ 100
9809,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-04,2019-05-06,214,100k-1M,1k-50k
9811,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-31,2020-01-31,1,≤ 10k,≤ 100
9812,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-28,2019-06-11,13,≤ 10k,≤ 100
9813,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-11-01,2018-11-06,6,≤ 10k,≤ 100
9816,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-03-14,11,≤ 10k,100-1k
9819,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-08-06,7,≤ 10k,100-1k
9822,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-19,2020-01-06,17,≤ 10k,100-1k
